# name=𝒮𝒸𝓇𝒾𝓅𝓉
# desc=𝒮𝒸𝓇𝒾𝓅𝓉 𝓁ℯ𝓉𝓉ℯ𝓇𝓈 assembled from <a href=https://unicode-table.com/en/blocks/mathematical-alphanumeric-symbols>the "Mathematical Alphanumeric Symbols"-block</a> and the <a href=https://unicode-table.com/en/blocks/letterlike-symbols>the "Letterlike Symbols"-block</a>.

A 𝒜
B ℬ
C 𝒞
D 𝒟
E ℰ
F ℱ
G 𝒢
H ℋ
I ℐ
J 𝒥
K 𝒦
L 𝒧 ℒ
M 𝒨 ℳ
N 𝒩
O 𝒪
P 𝒫
Q 𝒬
R ℛ
S 𝒮
T 𝒯
U 𝒰
V 𝒱
W 𝒲
X 𝒳
Y 𝒴
Z 𝒵
a 𝒶
b 𝒷
c 𝒸
d 𝒹
e ℯ
f 𝒻
g ℊ
h 𝒽
i 𝒾
j 𝒿
k 𝓀
l 𝓁
m 𝓂
n 𝓃
o ℴ
p 𝓅
q 𝓆
r 𝓇
s 𝓈
t 𝓉
u 𝓊
v 𝓋
w 𝓌
x 𝓍
y 𝓎
z 𝓏

& 🙵
